"probe_id","gene_symbol","gene_name","gene_id"
"ILMN_1707380","PRELP","proline and arginine rich end leucine rich repeat protein","5549"
"ILMN_1707386","","",""
"ILMN_1707391","STXBP4","syntaxin binding protein 4","252983"
"ILMN_1707398","ESRRB","estrogen related receptor beta","2103"
"ILMN_1707420","","",""
"ILMN_1707426","CPLX4","complexin 4","339302"
"ILMN_1707433","","",""
"ILMN_1707434","","",""
"ILMN_1707445","","",""
"ILMN_1707448","CDK12","cyclin dependent kinase 12","51755"
"ILMN_1707461","TXNDC8","thioredoxin domain containing 8","255220"
"ILMN_1707464","MST1","macrophage stimulating 1","4485"
"ILMN_1707469","","",""
"ILMN_1707475","UBE2E2","ubiquitin conjugating enzyme E2 E2","7325"
"ILMN_1707481","ZBTB44","zinc finger and BTB domain containing 44","29068"
"ILMN_1707484","GEMIN6","gem nuclear organelle associated protein 6","79833"
"ILMN_1707491","","",""
"ILMN_1707503","SZRD1","SUZ RNA binding domain containing 1","26099"
"ILMN_1707513","PGPEP1","pyroglutamyl-peptidase I","54858"
"ILMN_1707529","","",""
"ILMN_1707534","NKRF","NFKB repressing factor","55922"
"ILMN_1707548","RAD18","RAD18, E3 ubiquitin protein ligase","56852"
"ILMN_1707553","GAREM1","GRB2 associated regulator of MAPK1 subtype 1","64762"
"ILMN_1707578","","",""
"ILMN_1707585","SLC46A2","solute carrier family 46 member 2","57864"
"ILMN_1707591","TNIP3","TNFAIP3 interacting protein 3","79931"
"ILMN_1707596","ZNF37A","zinc finger protein 37A","7587"
"ILMN_1707598","SNORD14B","small nucleolar RNA, C/D box 14B","85388"
"ILMN_1707600","WDTC1","WD and tetratricopeptide repeats 1","23038"
"ILMN_1707612","FIGF","c-fos induced growth factor","2277"
"ILMN_1707627","TPI1","triosephosphate isomerase 1","7167"
"ILMN_1707630","","",""
"ILMN_1707631","MED10","mediator complex subunit 10","84246"
"ILMN_1707634","CMC1","C-X9-C motif containing 1","152100"
"ILMN_1707649","MPDZ","multiple PDZ domain crumbs cell polarity complex component","8777"
"ILMN_1707652","KRTAP1-5","keratin associated protein 1-5","83895"
"ILMN_1707660","","",""
"ILMN_1707668","TAS2R42","taste 2 receptor member 42","353164"
"ILMN_1707685","","",""
"ILMN_1707686","","",""
"ILMN_1707689","","",""
"ILMN_1707690","","",""
"ILMN_1707694","NUTM2A","NUT family member 2A","728118"
"ILMN_1707699","","",""
"ILMN_1707700","","",""
"ILMN_1707710","SLC6A13","solute carrier family 6 member 13","6540"
"ILMN_1707713","CIB4","calcium and integrin binding family member 4","130106"
"ILMN_1707720","SLC1A5","solute carrier family 1 member 5","6510"
"ILMN_1707734","NNAT","neuronatin","4826"
"ILMN_1707741","TBC1D26","TBC1 domain family member 26","353149"
"ILMN_1707760","OR4C15","olfactory receptor family 4 subfamily C member 15","81309"
"ILMN_1707775","ZNF257","zinc finger protein 257","113835"
"ILMN_1707780","","",""
"ILMN_1707783","TMA7","translation machinery associated 7 homolog","51372"
"ILMN_1707791","TAZ","tafazzin","6901"
"ILMN_1707794","","",""
"ILMN_1707799","DGKK","diacylglycerol kinase kappa","139189"
"ILMN_1707804","","",""
"ILMN_1707807","RNF128","ring finger protein 128, E3 ubiquitin protein ligase","79589"
"ILMN_1707810","RPS5","ribosomal protein S5","6193"
"ILMN_1707816","ZNF527","zinc finger protein 527","84503"
"ILMN_1707819","RNF126P1","ring finger protein 126 pseudogene 1","376412"
"ILMN_1707828","UGT1A5","UDP glucuronosyltransferase family 1 member A5","54579"
"ILMN_1707858","H2AFZ","H2A histone family member Z","3015"
"ILMN_1707881","NMNAT2","nicotinamide nucleotide adenylyltransferase 2","23057"
"ILMN_1707901","DHRS7B","dehydrogenase/reductase 7B","25979"
"ILMN_1707904","","",""
"ILMN_1707930","","",""
"ILMN_1707943","SWSAP1","SWIM-type zinc finger 7 associated protein 1","126074"
"ILMN_1707945","HELB","DNA helicase B","92797"
"ILMN_1707957","","",""
"ILMN_1707965","","",""
"ILMN_1707968","","",""
"ILMN_1707973","","",""
"ILMN_1707975","SERPIND1","serpin family D member 1","3053"
"ILMN_1707979","CARD17","caspase recruitment domain family member 17","440068"
"ILMN_1707983","","",""
"ILMN_1708004","","",""
"ILMN_1708006","MICB","MHC class I polypeptide-related sequence B","4277"
"ILMN_1708009","LANCL2","LanC like 2","55915"
"ILMN_1708016","FAM210B","family with sequence similarity 210 member B","116151"
"ILMN_1708023","","",""
"ILMN_1708041","PLEKHF1","pleckstrin homology and FYVE domain containing 1","79156"
"ILMN_1708047","","",""
"ILMN_1708048","","",""
"ILMN_1708049","","",""
"ILMN_1708056","ANKRD31","ankyrin repeat domain 31","256006"
"ILMN_1708059","USP13","ubiquitin specific peptidase 13 (isopeptidase T-3)","8975"
"ILMN_1708064","MAP4","microtubule associated protein 4","4134"
"ILMN_1708077","DAXX","death domain associated protein","1616"
"ILMN_1708081","LCLAT1","lysocardiolipin acyltransferase 1","253558"
"ILMN_1708092","","",""
"ILMN_1708093","ARHGEF5","Rho guanine nucleotide exchange factor 5","7984"
"ILMN_1708098","LIX1L","limb and CNS expressed 1 like","128077"
"ILMN_1708101","LMNB2","lamin B2","84823"
"ILMN_1708103","GAN","gigaxonin","8139"
"ILMN_1708107","DPT","dermatopontin","1805"
"ILMN_1708110","TMEM144","transmembrane protein 144","55314"
"ILMN_1708126","GOLGA6D","golgin A6 family member D","653643"
"ILMN_1708130","EHF","ETS homologous factor","26298"
"ILMN_1708131","BHLHB9","basic helix-loop-helix domain containing, class B, 9","80823"
"ILMN_1708143","FAM127A","family with sequence similarity 127 member A","8933"
"ILMN_1708147","TBPL1","TATA-box binding protein like 1","9519"
"ILMN_1708151","LAGE3","L antigen family member 3","8270"
"ILMN_1708152","BPIFC","BPI fold containing family C","254240"
"ILMN_1708159","PICK1","protein interacting with PRKCA 1","9463"
"ILMN_1708164","EIF3A","eukaryotic translation initiation factor 3 subunit A","8661"
"ILMN_1708182","ODF1","outer dense fiber of sperm tails 1","4956"
"ILMN_1708183","PZP","PZP, alpha-2-macroglobulin like","5858"
"ILMN_1708192","","",""
"ILMN_1708203","","",""
"ILMN_1708204","COPG1","coatomer protein complex subunit gamma 1","22820"
"ILMN_1708214","LOC344967","acyl-CoA thioesterase 7 pseudogene","344967"
"ILMN_1708215","","",""
"ILMN_1708223","PAK6","p21 (RAC1) activated kinase 6","56924"
"ILMN_1708238","OR52E2","olfactory receptor family 52 subfamily E member 2","119678"
"ILMN_1708242","","",""
"ILMN_1708243","","",""
"ILMN_1708248","LILRB1","leukocyte immunoglobulin like receptor B1","10859"
"ILMN_1708249","NR1D1","nuclear receptor subfamily 1 group D member 1","9572"
"ILMN_1708251","","",""
"ILMN_1708270","RHOXF2B","Rhox homeobox family member 2B","727940"
"ILMN_1708277","C10orf55","chromosome 10 open reading frame 55","414236"
"ILMN_1708298","","",""
"ILMN_1708303","CYP4F22","cytochrome P450 family 4 subfamily F member 22","126410"
"ILMN_1708304","C11orf16","chromosome 11 open reading frame 16","56673"
"ILMN_1708323","ALAS2","5'-aminolevulinate synthase 2","212"
"ILMN_1708328","RAB11FIP3","RAB11 family interacting protein 3","9727"
"ILMN_1708340","DAPK1","death associated protein kinase 1","1612"
"ILMN_1708345","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2","30836"
"ILMN_1708348","ADAM8","ADAM metallopeptidase domain 8","101"
"ILMN_1708367","","",""
"ILMN_1708369","EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1","58513"
"ILMN_1708375","IRF1","interferon regulatory factor 1","3659"
"ILMN_1708381","","",""
"ILMN_1708382","ELP6","elongator acetyltransferase complex subunit 6","54859"
"ILMN_1708391","NR1H4","nuclear receptor subfamily 1 group H member 4","9971"
"ILMN_1708393","C1orf185","chromosome 1 open reading frame 185","284546"
"ILMN_1708398","SLC25A41","solute carrier family 25 member 41","284427"
"ILMN_1708402","","",""
"ILMN_1708414","GNL3L","G protein nucleolar 3 like","54552"
"ILMN_1708421","","",""
"ILMN_1708427","KPNA3","karyopherin subunit alpha 3","3839"
"ILMN_1708428","GPR150","G protein-coupled receptor 150","285601"
"ILMN_1708432","PLCB1","phospholipase C beta 1","23236"
"ILMN_1708451","PIGP","phosphatidylinositol glycan anchor biosynthesis class P","51227"
"ILMN_1708485","BIN3","bridging integrator 3","55909"
"ILMN_1708492","","",""
"ILMN_1708496","BRSK2","BR serine/threonine kinase 2","9024"
"ILMN_1708501","","",""
"ILMN_1708502","AFF4","AF4/FMR2 family member 4","27125"
"ILMN_1708508","PPM1E","protein phosphatase, Mg2+/Mn2+ dependent 1E","22843"
"ILMN_1708512","","",""
"ILMN_1708515","","",""
"ILMN_1708516","PRTFDC1","phosphoribosyl transferase domain containing 1","56952"
"ILMN_1708533","","",""
"ILMN_1708535","","",""
"ILMN_1708538","","",""
"ILMN_1708542","","",""
"ILMN_1708558","","",""
"ILMN_1708570","","",""
"ILMN_1708580","PDZK1IP1","PDZK1 interacting protein 1","10158"
"ILMN_1708583","OR5L2","olfactory receptor family 5 subfamily L member 2","26338"
"ILMN_1708588","ADCY5","adenylate cyclase 5","111"
"ILMN_1708605","","",""
"ILMN_1708608","","",""
"ILMN_1708611","RDX","radixin","5962"
"ILMN_1708615","TNXB","tenascin XB","7148"
"ILMN_1708618","","",""
"ILMN_1708625","","",""
"ILMN_1708627","","",""
"ILMN_1708631","","",""
"ILMN_1708632","ZNF771","zinc finger protein 771","51333"
"ILMN_1708646","","",""
"ILMN_1708647","","",""
"ILMN_1708660","RWDD4","RWD domain containing 4","201965"
"ILMN_1708662","","",""
"ILMN_1708664","","",""
"ILMN_1708686","CCDC144B","coiled-coil domain containing 144B (pseudogene)","284047"
"ILMN_1708706","","",""
"ILMN_1708710","GFRAL","GDNF family receptor alpha like","389400"
"ILMN_1708714","","",""
"ILMN_1708721","RABGAP1L","RAB GTPase activating protein 1 like","9910"
"ILMN_1708728","H2AFJ","H2A histone family member J","55766"
"ILMN_1708729","","",""
"ILMN_1708743","NT5DC2","5'-nucleotidase domain containing 2","64943"
"ILMN_1708747","OR6C4","olfactory receptor family 6 subfamily C member 4","341418"
"ILMN_1708769","","",""
"ILMN_1708772","OR5B2","olfactory receptor family 5 subfamily B member 2","390190"
"ILMN_1708778","ASS1","argininosuccinate synthase 1","445"
"ILMN_1708779","GNLY","granulysin","10578"
"ILMN_1708782","MFAP3","microfibrillar associated protein 3","4238"
"ILMN_1708787","ZNF627","zinc finger protein 627","199692"
"ILMN_1708790","CA6","carbonic anhydrase 6","765"
"ILMN_1708798","EAF2","ELL associated factor 2","55840"
"ILMN_1708805","NCOA3","nuclear receptor coactivator 3","8202"
"ILMN_1708833","APCS","amyloid P component, serum","325"
"ILMN_1708841","GOLPH3","golgi phosphoprotein 3","64083"
"ILMN_1708845","MTNR1A","melatonin receptor 1A","4543"
"ILMN_1708861","LRRC3B","leucine rich repeat containing 3B","116135"
"ILMN_1708881","RAB20","RAB20, member RAS oncogene family","55647"
"ILMN_1708886","SEBOX","SEBOX homeobox","645832"
"ILMN_1708890","RASSF4","Ras association domain family member 4","83937"
"ILMN_1708891","SCFD2","sec1 family domain containing 2","152579"
"ILMN_1708900","TMEM161A","transmembrane protein 161A","54929"
"ILMN_1708903","","",""
"ILMN_1708905","LOC374443","C-type lectin domain family 2 member D pseudogene","374443"
"ILMN_1708906","CNOT11","CCR4-NOT transcription complex subunit 11","55571"
"ILMN_1708907","MEIG1","meiosis/spermiogenesis associated 1","644890"
"ILMN_1708916","PDZD4","PDZ domain containing 4","57595"
"ILMN_1708922","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","25"
"ILMN_1708925","GALNT9","polypeptide N-acetylgalactosaminyltransferase 9","50614"
"ILMN_1708929","","",""
"ILMN_1708934","ADM","adrenomedullin","133"
"ILMN_1708941","","",""
"ILMN_1708946","VPS4A","vacuolar protein sorting 4 homolog A","27183"
"ILMN_1708947","","",""
"ILMN_1708950","ASPHD1","aspartate beta-hydroxylase domain containing 1","253982"
"ILMN_1708982","OR10K2","olfactory receptor family 10 subfamily K member 2","391107"
"ILMN_1708983","CASC1","cancer susceptibility candidate 1","55259"
"ILMN_1709000","","",""
"ILMN_1709004","","",""
"ILMN_1709006","","",""
"ILMN_1709020","MYBL2","MYB proto-oncogene like 2","4605"
"ILMN_1709024","DNM1P46","dynamin 1 pseudogene 46","196968"
"ILMN_1709026","","",""
"ILMN_1709032","FYCO1","FYVE and coiled-coil domain containing 1","79443"
"ILMN_1709033","","",""
"ILMN_1709035","C6orf10","chromosome 6 open reading frame 10","10665"
"ILMN_1709036","","",""
"ILMN_1709042","RBM4","RNA binding motif protein 4","5936"
"ILMN_1709043","PLGRKT","plasminogen receptor with a C-terminal lysine","55848"
"ILMN_1709044","TGIF2","TGFB induced factor homeobox 2","60436"
"ILMN_1709054","","",""
"ILMN_1709056","FBXW8","F-box and WD repeat domain containing 8","26259"
"ILMN_1709065","","",""
"ILMN_1709085","GSG2","germ cell associated 2, haspin","83903"
"ILMN_1709094","LIFR","leukemia inhibitory factor receptor alpha","3977"
"ILMN_1709101","","",""
"ILMN_1709112","CHM","CHM, Rab escort protein 1","1121"
"ILMN_1709124","ANO8","anoctamin 8","57719"
"ILMN_1709131","","",""
"ILMN_1709132","ELP2","elongator acetyltransferase complex subunit 2","55250"
"ILMN_1709135","","",""
"ILMN_1709142","PURA","purine rich element binding protein A","5813"
"ILMN_1709153","PRR16","proline rich 16","51334"
"ILMN_1709160","","",""
"ILMN_1709162","SHCBP1","SHC binding and spindle associated 1","79801"
"ILMN_1709173","HMHB1","histocompatibility minor HB-1","57824"
"ILMN_1709175","","",""
"ILMN_1709177","ITIH6","inter-alpha-trypsin inhibitor heavy chain family member 6","347365"
"ILMN_1709179","","",""
"ILMN_1709194","GPR155","G protein-coupled receptor 155","151556"
"ILMN_1709221","","",""
"ILMN_1709227","CCDC84","coiled-coil domain containing 84","338657"
"ILMN_1709233","F5","coagulation factor V","2153"
"ILMN_1709237","EPHX2","epoxide hydrolase 2","2053"
"ILMN_1709247","PPP2R1B","protein phosphatase 2 scaffold subunit Abeta","5519"
"ILMN_1709253","KCNK10","potassium two pore domain channel subfamily K member 10","54207"
"ILMN_1709257","RIPPLY3","ripply transcriptional repressor 3","53820"
"ILMN_1709265","RNF170","ring finger protein 170","81790"
"ILMN_1709267","MKRN3","makorin ring finger protein 3","7681"
"ILMN_1709269","CDH12","cadherin 12","1010"
"ILMN_1709285","","",""
"ILMN_1709287","","",""
"ILMN_1709294","CDCA8","cell division cycle associated 8","55143"
"ILMN_1709305","","",""
"ILMN_1709307","","",""
"ILMN_1709310","","",""
"ILMN_1709312","","",""
"ILMN_1709313","","",""
"ILMN_1709314","LOC400002","uncharacterized LOC400002","400002"
"ILMN_1709319","METTL21C","methyltransferase like 21C","196541"
"ILMN_1709322","","",""
"ILMN_1709350","CXCL3","C-X-C motif chemokine ligand 3","2921"
"ILMN_1709367","FAM186B","family with sequence similarity 186 member B","84070"
"ILMN_1709370","","",""
"ILMN_1709377","ZNF28","zinc finger protein 28","7576"
"ILMN_1709379","SPATA31A1","SPATA31 subfamily A member 1","647060"
"ILMN_1709395","","",""
"ILMN_1709399","SLC25A34","solute carrier family 25 member 34","284723"
"ILMN_1709408","MASP2","mannan binding lectin serine peptidase 2","10747"
"ILMN_1709434","VIT","vitrin","5212"
"ILMN_1709439","CHMP1A","charged multivesicular body protein 1A","5119"
"ILMN_1709451","TFPT","TCF3 fusion partner","29844"
"ILMN_1709471","CNTN4","contactin 4","152330"
"ILMN_1709472","FAM71A","family with sequence similarity 71 member A","149647"
"ILMN_1709474","ALMS1","ALMS1, centrosome and basal body associated protein","7840"
"ILMN_1709479","YAP1","Yes associated protein 1","10413"
"ILMN_1709484","BLM","Bloom syndrome RecQ like helicase","641"
"ILMN_1709486","SRPX","sushi repeat containing protein, X-linked","8406"
"ILMN_1709501","","",""
"ILMN_1709541","ATP2A1","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1","487"
"ILMN_1709549","","",""
"ILMN_1709570","","",""
"ILMN_1709584","","",""
"ILMN_1709593","EN1","engrailed homeobox 1","2019"
"ILMN_1709604","SNORA64","small nucleolar RNA, H/ACA box 64","26784"
"ILMN_1709607","LOC400661","uncharacterized LOC400661","400661"
"ILMN_1709615","","",""
"ILMN_1709626","IFI27L1","interferon alpha inducible protein 27 like 1","122509"
"ILMN_1709630","CCDC107","coiled-coil domain containing 107","203260"
"ILMN_1709634","CMBL","carboxymethylenebutenolidase homolog","134147"
"ILMN_1709635","SLC38A11","solute carrier family 38 member 11","151258"
"ILMN_1709650","","",""
"ILMN_1709674","GFPT2","glutamine-fructose-6-phosphate transaminase 2","9945"
"ILMN_1709688","","",""
"ILMN_1709707","","",""
"ILMN_1709708","LCE2C","late cornified envelope 2C","353140"
"ILMN_1709717","LRRC15","leucine rich repeat containing 15","131578"
"ILMN_1709719","LPAR3","lysophosphatidic acid receptor 3","23566"
"ILMN_1709722","","",""
"ILMN_1709725","ACP7","acid phosphatase 7, tartrate resistant (putative)","390928"
"ILMN_1709734","BMP4","bone morphogenetic protein 4","652"
"ILMN_1709740","TXNDC16","thioredoxin domain containing 16","57544"
"ILMN_1709741","","",""
"ILMN_1709747","EXOG","endo/exonuclease (5'-3'), endonuclease G-like","9941"
"ILMN_1709750","SUSD1","sushi domain containing 1","64420"
"ILMN_1709763","C4orf51","chromosome 4 open reading frame 51","646603"
"ILMN_1709767","YWHAEP7","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7","284100"
"ILMN_1709768","","",""
"ILMN_1709775","","",""
"ILMN_1709795","RAC2","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","5880"
"ILMN_1709796","AGXT","alanine-glyoxylate aminotransferase","189"
"ILMN_1709800","POMZP3","POM121 and ZP3 fusion","22932"
"ILMN_1709803","","",""
"ILMN_1709809","SNU13","SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)","4809"
"ILMN_1709814","NMRAL1","NmrA like redox sensor 1","57407"
"ILMN_1709815","PURG","purine rich element binding protein G","29942"
"ILMN_1709817","SLC35A5","solute carrier family 35 member A5","55032"
"ILMN_1709818","","",""
"ILMN_1709820","AOAH","acyloxyacyl hydrolase","313"
"ILMN_1709824","PCDHGB1","protocadherin gamma subfamily B, 1","56104"
"ILMN_1709825","WDR89","WD repeat domain 89","112840"
"ILMN_1709847","KCNJ13","potassium voltage-gated channel subfamily J member 13","3769"
"ILMN_1709860","UNC45A","unc-45 myosin chaperone A","55898"
"ILMN_1709877","TRIML1","tripartite motif family like 1","339976"
"ILMN_1709891","","",""
"ILMN_1709894","CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit","10845"
"ILMN_1709900","LOC400997","uncharacterized LOC400997","400997"
"ILMN_1709907","B3GALT2","beta-1,3-galactosyltransferase 2","8707"
"ILMN_1709910","","",""
"ILMN_1709919","PLP1","proteolipid protein 1","5354"
"ILMN_1709936","LYRM7","LYR motif containing 7","90624"
"ILMN_1709937","KCNN4","potassium calcium-activated channel subfamily N member 4","3783"
"ILMN_1709948","","",""
"ILMN_1709953","DONSON","downstream neighbor of SON","29980"
"ILMN_1709968","","",""
"ILMN_1710000","PEX11G","peroxisomal biogenesis factor 11 gamma","92960"
"ILMN_1710026","RNF133","ring finger protein 133","168433"
"ILMN_1710027","PNMT","phenylethanolamine N-methyltransferase","5409"
"ILMN_1710052","CPT1A","carnitine palmitoyltransferase 1A","1374"
"ILMN_1710064","SDR16C5","short chain dehydrogenase/reductase family 16C, member 5","195814"
"ILMN_1710078","TMEM181","transmembrane protein 181","57583"
"ILMN_1710092","ZBTB46","zinc finger and BTB domain containing 46","140685"
"ILMN_1710111","","",""
"ILMN_1710112","","",""
"ILMN_1710124","CMTM8","CKLF like MARVEL transmembrane domain containing 8","152189"
"ILMN_1710136","PUDP","pseudouridine 5'-phosphatase","8226"
"ILMN_1710146","","",""
"ILMN_1710161","GJA9","gap junction protein alpha 9","81025"
"ILMN_1710177","","",""
"ILMN_1710186","CCL17","C-C motif chemokine ligand 17","6361"
"ILMN_1710195","","",""
"ILMN_1710200","","",""
"ILMN_1710204","TNFRSF4","TNF receptor superfamily member 4","7293"
"ILMN_1710207","SLF2","SMC5-SMC6 complex localization factor 2","55719"
"ILMN_1710209","MFSD6","major facilitator superfamily domain containing 6","54842"
"ILMN_1710216","AVEN","apoptosis and caspase activation inhibitor","57099"
"ILMN_1710217","MLANA","melan-A","2315"
"ILMN_1710219","CALCR","calcitonin receptor","799"
"ILMN_1710220","","",""
"ILMN_1710221","GPR35","G protein-coupled receptor 35","2859"
"ILMN_1710222","","",""
"ILMN_1710243","OR1F1","olfactory receptor family 1 subfamily F member 1","4992"
"ILMN_1710268","ZNF385D","zinc finger protein 385D","79750"
"ILMN_1710269","TMC2","transmembrane channel like 2","117532"
"ILMN_1710280","TUBB1","tubulin beta 1 class VI","81027"
"ILMN_1710284","HES1","hes family bHLH transcription factor 1","3280"
"ILMN_1710289","CNTN5","contactin 5","53942"
"ILMN_1710303","TTC25","tetratricopeptide repeat domain 25","83538"
"ILMN_1710312","TMEM31","transmembrane protein 31","203562"
"ILMN_1710314","","",""
"ILMN_1710315","NOS1AP","nitric oxide synthase 1 adaptor protein","9722"
"ILMN_1710322","MCHR2","melanin concentrating hormone receptor 2","84539"
"ILMN_1710323","","",""
"ILMN_1710325","SCEL","sciellin","8796"
"ILMN_1710326","CLDND1","claudin domain containing 1","56650"
"ILMN_1710329","MYEF2","myelin expression factor 2","50804"
"ILMN_1710333","","",""
"ILMN_1710354","KIFC3","kinesin family member C3","3801"
"ILMN_1710368","","",""
"ILMN_1710394","CNTNAP5","contactin associated protein like 5","129684"
"ILMN_1710406","PSMC1","proteasome 26S subunit, ATPase 1","5700"
"ILMN_1710408","LGR4","leucine rich repeat containing G protein-coupled receptor 4","55366"
"ILMN_1710410","","",""
"ILMN_1710413","C11orf95","chromosome 11 open reading frame 95","65998"
"ILMN_1710416","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6","64711"
"ILMN_1710427","VPS37B","VPS37B, ESCRT-I subunit","79720"
"ILMN_1710434","TBC1D10C","TBC1 domain family member 10C","374403"
"ILMN_1710458","","",""
"ILMN_1710479","","",""
"ILMN_1710495","PAPLN","papilin, proteoglycan like sulfated glycoprotein","89932"
"ILMN_1710512","PFN2","profilin 2","5217"
"ILMN_1710514","BCL3","B-cell CLL/lymphoma 3","602"
"ILMN_1710523","ATP8B1","ATPase phospholipid transporting 8B1","5205"
"ILMN_1710524","PARD3","par-3 family cell polarity regulator","56288"
"ILMN_1710536","TMEM200C","transmembrane protein 200C","645369"
"ILMN_1710553","TMEM151A","transmembrane protein 151A","256472"
"ILMN_1710558","","",""
"ILMN_1710570","","",""
"ILMN_1710571","PAPD5","poly(A) RNA polymerase D5, non-canonical","64282"
"ILMN_1710590","PLA2G2E","phospholipase A2 group IIE","30814"
"ILMN_1710591","","",""
"ILMN_1710598","SKI","SKI proto-oncogene","6497"
"ILMN_1710602","","",""
"ILMN_1710606","C8A","complement component 8 alpha subunit","731"
"ILMN_1710614","","",""
"ILMN_1710619","","",""
"ILMN_1710622","DUOXA1","dual oxidase maturation factor 1","90527"
"ILMN_1710629","CES5AP1","carboxylesterase 5A pseudogene 1","649264"
"ILMN_1710641","","",""
"ILMN_1710644","MARVELD3","MARVEL domain containing 3","91862"
"ILMN_1710652","MTMR8","myotubularin related protein 8","55613"
"ILMN_1710668","LETM1","leucine zipper and EF-hand containing transmembrane protein 1","3954"
"ILMN_1710676","FBXO5","F-box protein 5","26271"
"ILMN_1710684","MIPOL1","mirror-image polydactyly 1","145282"
"ILMN_1710697","BUD31","BUD31 homolog","8896"
"ILMN_1710698","","",""
"ILMN_1710701","CDKN2C","cyclin dependent kinase inhibitor 2C","1031"
"ILMN_1710722","ZNF474","zinc finger protein 474","133923"
"ILMN_1710727","GSX2","GS homeobox 2","170825"
"ILMN_1710730","","",""
"ILMN_1710734","GZMK","granzyme K","3003"
"ILMN_1710738","RC3H2","ring finger and CCCH-type domains 2","54542"
"ILMN_1710740","C2","complement component 2","717"
"ILMN_1710747","","",""
"ILMN_1710752","NAPRT","nicotinate phosphoribosyltransferase","93100"
"ILMN_1710756","ENO1","enolase 1","2023"
"ILMN_1710758","RNF20","ring finger protein 20","56254"
"ILMN_1710768","KRBOX4","KRAB box domain containing 4","55634"
"ILMN_1710772","PROB1","proline rich basic protein 1","389333"
"ILMN_1710790","","",""
"ILMN_1710829","","",""
"ILMN_1710834","","",""
"ILMN_1710847","MAGEB16","MAGE family member B16","139604"
"ILMN_1710859","PCSK1","proprotein convertase subtilisin/kexin type 1","5122"
"ILMN_1710863","GATAD1","GATA zinc finger domain containing 1","57798"
"ILMN_1710873","ZNF330","zinc finger protein 330","27309"
"ILMN_1710876","","",""
"ILMN_1710884","OR5M10","olfactory receptor family 5 subfamily M member 10","390167"
"ILMN_1710885","","",""
"ILMN_1710889","SPAG11A","sperm associated antigen 11A","653423"
"ILMN_1710906","RNF145","ring finger protein 145","153830"
"ILMN_1710923","SLAMF7","SLAM family member 7","57823"
"ILMN_1710937","IFI16","interferon gamma inducible protein 16","3428"
"ILMN_1710954","","",""
"ILMN_1710962","TMEM97","transmembrane protein 97","27346"
"ILMN_1710979","ANKRD39","ankyrin repeat domain 39","51239"
"ILMN_1710985","GLIS2","GLIS family zinc finger 2","84662"
"ILMN_1710989","","",""
"ILMN_1710993","C1orf111","chromosome 1 open reading frame 111","284680"
"ILMN_1711009","ISLR","immunoglobulin superfamily containing leucine rich repeat","3671"
"ILMN_1711015","CRYAA","crystallin alpha A","1409"
"ILMN_1711023","CDK5RAP1","CDK5 regulatory subunit associated protein 1","51654"
"ILMN_1711030","OPLAH","5-oxoprolinase (ATP-hydrolysing)","26873"
"ILMN_1711032","IFITM5","interferon induced transmembrane protein 5","387733"
"ILMN_1711048","ZBTB17","zinc finger and BTB domain containing 17","7709"
"ILMN_1711049","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2","9254"
"ILMN_1711053","","",""
"ILMN_1711055","DUX1","double homeobox 1","26584"
"ILMN_1711060","","",""
"ILMN_1711067","C22orf42","chromosome 22 open reading frame 42","150297"
"ILMN_1711069","YPEL5","yippee like 5","51646"
"ILMN_1711072","","",""
"ILMN_1711073","","",""
"ILMN_1711078","CDK11A","cyclin dependent kinase 11A","728642"
"ILMN_1711087","","",""
"ILMN_1711089","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21","134218"
"ILMN_1711092","KCNB1","potassium voltage-gated channel subfamily B member 1","3745"
"ILMN_1711098","","",""
"ILMN_1711102","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","10678"
"ILMN_1711111","SLC9C1","solute carrier family 9 member C1","285335"
"ILMN_1711114","","",""
"ILMN_1711120","ARC","activity regulated cytoskeleton associated protein","23237"
"ILMN_1711122","","",""
"ILMN_1711124","","",""
"ILMN_1711139","VPS37A","VPS37A, ESCRT-I subunit","137492"
"ILMN_1711145","","",""
"ILMN_1711156","","",""
"ILMN_1711157","NOTCH4","notch 4","4855"
"ILMN_1711166","WRAP73","WD repeat containing, antisense to TP73","49856"
"ILMN_1711171","CREB3L4","cAMP responsive element binding protein 3 like 4","148327"
"ILMN_1711174","SPRR1B","small proline rich protein 1B","6699"
"ILMN_1711189","EXOSC10","exosome component 10","5394"
"ILMN_1711199","ZNF331","zinc finger protein 331","55422"
"ILMN_1711203","C6orf15","chromosome 6 open reading frame 15","29113"
"ILMN_1711208","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","1952"
"ILMN_1711223","","",""
